job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date
76,Data Scientist,Ai,Dubai,135752,"pytorch, python",Yes,Small,2025-05-15
77,Quantum Researcher,Quantum Computing,London,249565,"quantum algorithms, linear algebra",Yes,Small,2025-04-14
78,Data Scientist,Ai,Dubai,89447,"python, pytorch",No,Medium,2025-03-13
79,Data Scientist,Ai,Dubai,249952,"pytorch, python",Yes,Medium,2025-07-03
80,Smart Contract Engineer,Blockchain,New York,161896,"rust, solidity",Yes,Medium,2025-08-06
81,Sustainability Analyst,Green Tech,Dubai,195896,"climate data analysis, energy modeling",No,Small,2025-04-10
82,Blockchain Developer,Blockchain,New York,166524,"rust, ethereum",Yes,Small,2025-07-20
83,Blockchain Developer,Blockchain,Dubai,201048,"rust, solidity",Yes,Large,2025-07-17
84,Smart Contract Engineer,Blockchain,Tokyo,141598,"rust, ethereum",No,Large,2025-03-26
85,Sustainability Analyst,Green Tech,London,128803,"climate data analysis, energy modeling",Yes,Medium,2025-11-23
86,Quantum Software Developer,Quantum Computing,Singapore,100859,"quantum algorithms, linear algebra",Yes,Small,2025-07-08
87,Quantum Researcher,Quantum Computing,Dubai,236421,"linear algebra, qiskit",Yes,Small,2025-07-17
88,Quantum Software Developer,Quantum Computing,Berlin,182275,"quantum algorithms, linear algebra",No,Medium,2025-11-22
89,Quantum Software Developer,Quantum Computing,Dubai,229560,"quantum algorithms, qiskit",Yes,Medium,2025-09-20
90,Quantum Software Developer,Quantum Computing,Tokyo,126173,"qiskit, quantum algorithms",No,Medium,2025-02-20
91,Renewable Energy Engineer,Green Tech,Singapore,208192,"energy modeling, climate data analysis",No,Small,2025-11-13
92,Sustainability Analyst,Green Tech,Singapore,220796,"climate data analysis, energy modeling",No,Medium,2025-06-23
93,Quantum Researcher,Quantum Computing,Dubai,114350,"linear algebra, qiskit",No,Large,2025-12-10
94,Smart Contract Engineer,Blockchain,Dubai,79916,"ethereum, solidity",Yes,Small,2025-02-28
95,Smart Contract Engineer,Blockchain,London,187831,"solidity, ethereum",No,Medium,2025-07-04
96,Blockchain Developer,Blockchain,Berlin,199549,"rust, solidity",Yes,Small,2025-07-26
97,Renewable Energy Engineer,Green Tech,Dubai,62257,"energy modeling, climate data analysis",Yes,Small,2025-08-02
98,Smart Contract Engineer,Blockchain,Tokyo,113775,"solidity, ethereum",Yes,Medium,2025-06-17
99,Smart Contract Engineer,Blockchain,Tokyo,156267,"solidity, ethereum",Yes,Small,2025-06-20
100,Ai Engineer,Ai,Tokyo,201677,"pytorch, tensorflow",No,Large,2025-12-05
101,Data Scientist,Ai,New York,147467,"python, pytorch",Yes,Small,2025-10-11
102,Smart Contract Engineer,Blockchain,London,247521,"ethereum, rust",Yes,Large,2025-10-19
103,Ml Researcher,Ai,Tokyo,192471,"python, pytorch",Yes,Medium,2025-04-25
104,Quantum Researcher,Quantum Computing,London,70638,"quantum algorithms, linear algebra",No,Large,2025-08-19
105,Smart Contract Engineer,Blockchain,New York,138547,"solidity, ethereum",No,Medium,2025-05-07
106,Quantum Researcher,Quantum Computing,Dubai,101188,"qiskit, quantum algorithms",Yes,Small,2025-12-12
107,Ai Engineer,Ai,Singapore,86671,"pytorch, tensorflow",Yes,Large,2025-04-30
108,Quantum Researcher,Quantum Computing,London,134790,"quantum algorithms, linear algebra",Yes,Small,2025-12-14
109,Renewable Energy Engineer,Green Tech,Dubai,214976,"climate data analysis, energy modeling",No,Small,2025-10-31
110,Data Scientist,Ai,London,147423,"python, tensorflow",Yes,Medium,2025-06-22
111,Sustainability Analyst,Green Tech,Singapore,202836,"climate data analysis, energy modeling",No,Large,2025-05-20
112,Quantum Researcher,Quantum Computing,Dubai,93416,"linear algebra, quantum algorithms",Yes,Medium,2025-08-25
113,Data Scientist,Ai,Singapore,98160,"pytorch, tensorflow",Yes,Medium,2025-09-13
114,Ml Researcher,Ai,Tokyo,161667,"tensorflow, pytorch",No,Small,2025-09-20
115,Smart Contract Engineer,Blockchain,Tokyo,242785,"rust, solidity",No,Small,2025-05-18
116,Quantum Researcher,Quantum Computing,London,212646,"linear algebra, qiskit",No,Medium,2025-07-16
117,Ml Researcher,Ai,New York,63215,"python, pytorch",No,Medium,2025-01-04
118,Smart Contract Engineer,Blockchain,London,86040,"rust, solidity",No,Small,2025-03-08
119,Quantum Software Developer,Quantum Computing,Dubai,51023,"linear algebra, qiskit",Yes,Medium,2025-04-14
120,Ai Engineer,Ai,Dubai,52746,"tensorflow, python",No,Medium,2025-09-19
121,Sustainability Analyst,Green Tech,New York,142705,"energy modeling, climate data analysis",Yes,Medium,2025-03-14
122,Sustainability Analyst,Green Tech,Berlin,174051,"climate data analysis, energy modeling",No,Small,2025-09-06
123,Quantum Software Developer,Quantum Computing,Berlin,202562,"quantum algorithms, qiskit",No,Small,2025-04-19
124,Renewable Energy Engineer,Green Tech,Tokyo,152190,"climate data analysis, energy modeling",No,Large,2025-03-12
125,Smart Contract Engineer,Blockchain,London,67821,"rust, ethereum",Yes,Large,2025-12-17
126,Quantum Researcher,Quantum Computing,New York,207175,"linear algebra, qiskit",Yes,Large,2025-07-27
127,Renewable Energy Engineer,Green Tech,Singapore,74744,"energy modeling, climate data analysis",Yes,Large,2025-12-17
128,Quantum Software Developer,Quantum Computing,Berlin,202805,"linear algebra, quantum algorithms",No,Medium,2025-03-25
129,Data Scientist,Ai,Tokyo,149528,"python, tensorflow",Yes,Medium,2025-11-18
130,Sustainability Analyst,Green Tech,London,142226,"climate data analysis, energy modeling",No,Medium,2025-09-30
131,Quantum Researcher,Quantum Computing,Berlin,200826,"qiskit, linear algebra",No,Medium,2025-04-27
132,Quantum Software Developer,Quantum Computing,Berlin,104160,"quantum algorithms, linear algebra",No,Large,2025-06-12
133,Ai Engineer,Ai,Singapore,229764,"python, pytorch",Yes,Large,2025-05-30
134,Quantum Software Developer,Quantum Computing,New York,79013,"qiskit, quantum algorithms",Yes,Small,2025-10-31
135,Quantum Researcher,Quantum Computing,Tokyo,125838,"qiskit, linear algebra",No,Small,2025-01-20
136,Ml Researcher,Ai,London,207673,"pytorch, tensorflow",Yes,Small,2025-12-25
137,Sustainability Analyst,Green Tech,London,233670,"energy modeling, climate data analysis",Yes,Small,2025-05-14
138,Blockchain Developer,Blockchain,New York,79886,"solidity, ethereum",Yes,Medium,2025-03-28
139,Blockchain Developer,Blockchain,Berlin,148516,"rust, ethereum",Yes,Medium,2025-03-20
140,Renewable Energy Engineer,Green Tech,London,84598,"energy modeling, climate data analysis",No,Medium,2025-05-07
141,Blockchain Developer,Blockchain,New York,157579,"solidity, ethereum",No,Large,2025-11-21
142,Ai Engineer,Ai,Singapore,151674,"python, tensorflow",Yes,Medium,2025-09-01
143,Blockchain Developer,Blockchain,London,245022,"solidity, rust",Yes,Small,2025-07-31
144,Renewable Energy Engineer,Green Tech,London,150747,"energy modeling, climate data analysis",No,Large,2025-04-29
145,Quantum Researcher,Quantum Computing,Berlin,155555,"qiskit, linear algebra",No,Medium,2025-03-19
146,Smart Contract Engineer,Blockchain,Tokyo,109969,"solidity, ethereum",No,Medium,2025-05-29
147,Sustainability Analyst,Green Tech,London,240330,"climate data analysis, energy modeling",No,Large,2025-03-13
148,Smart Contract Engineer,Blockchain,Tokyo,115024,"solidity, ethereum",Yes,Small,2025-03-02
149,Quantum Researcher,Quantum Computing,Tokyo,243406,"quantum algorithms, linear algebra",Yes,Large,2025-08-17
150,Renewable Energy Engineer,Green Tech,Berlin,193325,"climate data analysis, energy modeling",No,Large,2025-03-22
151,Quantum Researcher,Quantum Computing,Dubai,239742,"qiskit, quantum algorithms",No,Large,2025-10-18
152,Quantum Software Developer,Quantum Computing,Berlin,123810,"linear algebra, quantum algorithms",Yes,Large,2025-04-24
153,Data Scientist,Ai,Berlin,237464,"tensorflow, python",Yes,Large,2025-01-09
154,Blockchain Developer,Blockchain,Singapore,195943,"solidity, ethereum",No,Medium,2025-10-14
155,Ml Researcher,Ai,London,144746,"python, tensorflow",No,Large,2025-01-23
156,Ai Engineer,Ai,London,97601,"python, pytorch",No,Medium,2025-02-21
157,Sustainability Analyst,Green Tech,New York,72704,"climate data analysis, energy modeling",No,Small,2025-04-23
158,Renewable Energy Engineer,Green Tech,Tokyo,181649,"climate data analysis, energy modeling",Yes,Medium,2025-07-06
159,Ml Researcher,Ai,Singapore,175481,"python, tensorflow",No,Medium,2025-04-30
160,Ai Engineer,Ai,Tokyo,160689,"python, tensorflow",Yes,Small,2025-02-27
161,Quantum Researcher,Quantum Computing,Dubai,200863,"quantum algorithms, qiskit",Yes,Small,2025-07-13
162,Sustainability Analyst,Green Tech,Singapore,78820,"climate data analysis, energy modeling",No,Medium,2025-12-16
163,Quantum Software Developer,Quantum Computing,Tokyo,162922,"linear algebra, quantum algorithms",No,Small,2025-12-14
164,Quantum Researcher,Quantum Computing,New York,100994,"quantum algorithms, qiskit",No,Small,2025-01-28
165,Quantum Software Developer,Quantum Computing,Berlin,202658,"qiskit, linear algebra",Yes,Medium,2025-05-25
166,Ai Engineer,Ai,Dubai,202405,"tensorflow, pytorch",No,Medium,2025-06-24
167,Quantum Software Developer,Quantum Computing,Berlin,175493,"quantum algorithms, linear algebra",No,Large,2025-07-03
168,Smart Contract Engineer,Blockchain,Singapore,126396,"ethereum, rust",No,Small,2025-03-01
169,Smart Contract Engineer,Blockchain,Singapore,219622,"rust, ethereum",No,Small,2025-01-17
170,Renewable Energy Engineer,Green Tech,Singapore,153416,"climate data analysis, energy modeling",No,Medium,2025-11-10
171,Quantum Researcher,Quantum Computing,Berlin,98465,"linear algebra, quantum algorithms",Yes,Large,2025-07-02
172,Smart Contract Engineer,Blockchain,Berlin,117711,"rust, ethereum",No,Small,2025-03-05
173,Blockchain Developer,Blockchain,Dubai,218890,"rust, ethereum",Yes,Medium,2025-02-23
174,Renewable Energy Engineer,Green Tech,New York,197656,"climate data analysis, energy modeling",Yes,Large,2025-06-24
175,Smart Contract Engineer,Blockchain,Singapore,182118,"ethereum, solidity",No,Small,2025-07-30
176,Sustainability Analyst,Green Tech,Berlin,73481,"energy modeling, climate data analysis",Yes,Large,2025-06-01
177,Blockchain Developer,Blockchain,New York,155470,"ethereum, solidity",No,Small,2025-09-24
178,Renewable Energy Engineer,Green Tech,Dubai,129100,"energy modeling, climate data analysis",No,Medium,2025-12-12
179,Quantum Researcher,Quantum Computing,London,146322,"linear algebra, qiskit",Yes,Large,2025-01-21
180,Smart Contract Engineer,Blockchain,Dubai,57434,"ethereum, solidity",No,Small,2025-06-15
181,Quantum Researcher,Quantum Computing,London,51885,"quantum algorithms, linear algebra",No,Medium,2025-05-05
182,Quantum Software Developer,Quantum Computing,London,83588,"quantum algorithms, qiskit",Yes,Large,2025-11-14
183,Renewable Energy Engineer,Green Tech,Singapore,141564,"climate data analysis, energy modeling",Yes,Large,2025-03-27
184,Quantum Researcher,Quantum Computing,Berlin,229705,"linear algebra, quantum algorithms",No,Large,2025-04-11
185,Sustainability Analyst,Green Tech,Dubai,86346,"energy modeling, climate data analysis",Yes,Medium,2025-09-18
186,Ml Researcher,Ai,Tokyo,132971,"python, pytorch",Yes,Small,2025-07-16
187,Renewable Energy Engineer,Green Tech,Tokyo,168602,"energy modeling, climate data analysis",Yes,Small,2025-01-16
188,Quantum Software Developer,Quantum Computing,Tokyo,165036,"qiskit, linear algebra",Yes,Small,2025-08-05
189,Sustainability Analyst,Green Tech,London,149363,"energy modeling, climate data analysis",No,Large,2025-09-16
190,Smart Contract Engineer,Blockchain,Dubai,169342,"solidity, rust",No,Small,2025-03-14
191,Quantum Researcher,Quantum Computing,London,86692,"quantum algorithms, qiskit",Yes,Medium,2025-10-04
192,Data Scientist,Ai,Singapore,178069,"tensorflow, python",Yes,Medium,2025-10-02
193,Sustainability Analyst,Green Tech,New York,188115,"climate data analysis, energy modeling",Yes,Small,2025-09-28
194,Ml Researcher,Ai,London,78160,"tensorflow, python",Yes,Small,2025-02-01
195,Quantum Software Developer,Quantum Computing,Dubai,223060,"qiskit, linear algebra",No,Small,2025-10-11
196,Smart Contract Engineer,Blockchain,Tokyo,113011,"solidity, rust",Yes,Large,2025-09-13
197,Quantum Software Developer,Quantum Computing,Singapore,163975,"quantum algorithms, qiskit",No,Large,2025-02-05
198,Blockchain Developer,Blockchain,New York,154984,"rust, ethereum",No,Small,2025-09-16
199,Ml Researcher,Ai,Singapore,108419,"tensorflow, python",Yes,Small,2025-10-13
200,Renewable Energy Engineer,Green Tech,London,141585,"energy modeling, climate data analysis",Yes,Large,2025-01-09
201,Smart Contract Engineer,Blockchain,Singapore,162399,"rust, solidity",Yes,Large,2025-08-09
202,Smart Contract Engineer,Blockchain,London,235501,"rust, ethereum",Yes,Large,2025-03-30
203,Quantum Software Developer,Quantum Computing,Tokyo,155892,"linear algebra, quantum algorithms",Yes,Large,2025-07-30
204,Smart Contract Engineer,Blockchain,Singapore,79487,"rust, solidity",No,Large,2025-06-15
205,Data Scientist,Ai,London,208206,"tensorflow, python",No,Small,2025-03-15
206,Smart Contract Engineer,Blockchain,Dubai,124758,"rust, solidity",Yes,Large,2025-06-19
207,Quantum Software Developer,Quantum Computing,Berlin,66624,"qiskit, quantum algorithms",No,Large,2025-03-11
208,Quantum Software Developer,Quantum Computing,New York,164103,"quantum algorithms, qiskit",Yes,Small,2025-10-07
209,Sustainability Analyst,Green Tech,New York,203897,"climate data analysis, energy modeling",Yes,Medium,2025-06-05
210,Smart Contract Engineer,Blockchain,Berlin,65042,"solidity, rust",Yes,Medium,2025-08-16
211,Sustainability Analyst,Green Tech,Dubai,121216,"climate data analysis, energy modeling",Yes,Large,2025-10-21
212,Quantum Researcher,Quantum Computing,Singapore,215387,"quantum algorithms, qiskit",No,Small,2025-11-30
213,Smart Contract Engineer,Blockchain,London,240101,"ethereum, solidity",Yes,Medium,2025-12-30
214,Ml Researcher,Ai,Dubai,220415,"pytorch, tensorflow",No,Large,2025-11-13
215,Sustainability Analyst,Green Tech,Berlin,221994,"climate data analysis, energy modeling",Yes,Large,2025-12-15
216,Quantum Researcher,Quantum Computing,Dubai,175521,"qiskit, linear algebra",Yes,Medium,2025-05-02
217,Renewable Energy Engineer,Green Tech,London,97662,"energy modeling, climate data analysis",No,Small,2025-02-20
218,Blockchain Developer,Blockchain,Dubai,100205,"ethereum, solidity",No,Small,2025-11-07
219,Renewable Energy Engineer,Green Tech,Berlin,188304,"energy modeling, climate data analysis",Yes,Large,2025-01-10
220,Blockchain Developer,Blockchain,Berlin,89969,"ethereum, rust",Yes,Small,2025-03-31
221,Quantum Researcher,Quantum Computing,London,186919,"quantum algorithms, qiskit",No,Medium,2025-09-29
222,Ai Engineer,Ai,Dubai,179721,"python, pytorch",No,Large,2025-10-16
223,Renewable Energy Engineer,Green Tech,Dubai,170643,"energy modeling, climate data analysis",Yes,Small,2025-01-16
224,Sustainability Analyst,Green Tech,Berlin,231713,"energy modeling, climate data analysis",No,Medium,2025-08-06
225,Quantum Software Developer,Quantum Computing,Tokyo,103854,"linear algebra, quantum algorithms",No,Small,2025-09-15
226,Quantum Researcher,Quantum Computing,New York,127374,"linear algebra, quantum algorithms",No,Medium,2025-05-24
227,Blockchain Developer,Blockchain,Dubai,104431,"solidity, rust",Yes,Small,2025-07-17
228,Blockchain Developer,Blockchain,Tokyo,153673,"rust, ethereum",No,Large,2025-10-31
229,Sustainability Analyst,Green Tech,Tokyo,152582,"climate data analysis, energy modeling",No,Medium,2025-08-26
230,Data Scientist,Ai,London,233856,"tensorflow, pytorch",Yes,Medium,2025-11-25
231,Blockchain Developer,Blockchain,London,223210,"ethereum, rust",No,Medium,2025-03-23
232,Sustainability Analyst,Green Tech,Singapore,174471,"climate data analysis, energy modeling",No,Large,2025-04-16
233,Blockchain Developer,Blockchain,Berlin,87352,"solidity, rust",Yes,Large,2025-06-02
234,Blockchain Developer,Blockchain,Tokyo,84604,"ethereum, rust",Yes,Medium,2025-12-06
235,Ml Researcher,Ai,Dubai,169919,"python, pytorch",No,Small,2025-03-05
236,Quantum Researcher,Quantum Computing,Dubai,167425,"quantum algorithms, qiskit",Yes,Large,2025-10-23
237,Blockchain Developer,Blockchain,Dubai,147685,"rust, ethereum",Yes,Small,2025-06-07
238,Sustainability Analyst,Green Tech,Berlin,121292,"climate data analysis, energy modeling",No,Medium,2025-05-29
239,Blockchain Developer,Blockchain,New York,201356,"solidity, ethereum",No,Small,2025-04-22
240,Quantum Software Developer,Quantum Computing,London,171712,"qiskit, quantum algorithms",Yes,Small,2025-05-12
241,Data Scientist,Ai,New York,70577,"tensorflow, python",No,Small,2025-08-11
242,Ml Researcher,Ai,London,199785,"pytorch, tensorflow",No,Medium,2025-08-01
243,Renewable Energy Engineer,Green Tech,New York,82221,"climate data analysis, energy modeling",No,Medium,2025-09-26
244,Renewable Energy Engineer,Green Tech,Dubai,195969,"energy modeling, climate data analysis",No,Medium,2025-02-02
245,Blockchain Developer,Blockchain,Berlin,162050,"rust, ethereum",No,Medium,2025-06-30
246,Sustainability Analyst,Green Tech,Berlin,194488,"climate data analysis, energy modeling",Yes,Small,2025-10-18
247,Data Scientist,Ai,Tokyo,107470,"tensorflow, python",No,Medium,2025-01-26
248,Data Scientist,Ai,London,213416,"python, pytorch",Yes,Small,2025-04-09
249,Blockchain Developer,Blockchain,Berlin,214218,"rust, ethereum",Yes,Large,2025-12-15
250,Sustainability Analyst,Green Tech,Dubai,55485,"climate data analysis, energy modeling",Yes,Small,2025-08-31
251,Smart Contract Engineer,Blockchain,Singapore,163716,"ethereum, solidity",No,Medium,2025-04-21
252,Quantum Researcher,Quantum Computing,London,238275,"quantum algorithms, qiskit",Yes,Medium,2025-07-22
253,Sustainability Analyst,Green Tech,London,114598,"energy modeling, climate data analysis",No,Medium,2025-11-04
254,Renewable Energy Engineer,Green Tech,Singapore,223986,"climate data analysis, energy modeling",No,Small,2025-12-16
255,Blockchain Developer,Blockchain,London,158911,"ethereum, solidity",No,Medium,2025-08-29
256,Quantum Software Developer,Quantum Computing,Berlin,123935,"quantum algorithms, qiskit",No,Small,2025-07-11
257,Ml Researcher,Ai,London,162536,"pytorch, python",Yes,Small,2025-04-08
258,Quantum Researcher,Quantum Computing,New York,161797,"qiskit, linear algebra",Yes,Large,2025-10-08
259,Ai Engineer,Ai,Dubai,53672,"pytorch, tensorflow",Yes,Small,2025-04-05
260,Quantum Software Developer,Quantum Computing,Berlin,206868,"linear algebra, qiskit",No,Large,2025-02-08
261,Quantum Researcher,Quantum Computing,New York,184640,"linear algebra, quantum algorithms",No,Medium,2025-05-04
262,Blockchain Developer,Blockchain,New York,198679,"ethereum, rust",No,Medium,2025-01-13
263,Blockchain Developer,Blockchain,Singapore,202663,"solidity, rust",Yes,Medium,2025-02-17
264,Data Scientist,Ai,London,249271,"python, tensorflow",No,Small,2025-07-24
265,Blockchain Developer,Blockchain,Berlin,234884,"solidity, ethereum",Yes,Large,2025-01-10
266,Quantum Software Developer,Quantum Computing,Berlin,144434,"quantum algorithms, linear algebra",No,Medium,2025-12-27
267,Blockchain Developer,Blockchain,New York,160471,"ethereum, rust",No,Small,2025-09-09
268,Ml Researcher,Ai,New York,192965,"tensorflow, pytorch",Yes,Large,2025-10-20
269,Blockchain Developer,Blockchain,New York,129326,"solidity, ethereum",No,Small,2025-12-19
270,Data Scientist,Ai,Tokyo,206457,"python, tensorflow",No,Medium,2025-11-24
271,Renewable Energy Engineer,Green Tech,New York,195567,"climate data analysis, energy modeling",Yes,Small,2025-01-03
272,Sustainability Analyst,Green Tech,Dubai,62070,"energy modeling, climate data analysis",Yes,Medium,2025-07-11
273,Sustainability Analyst,Green Tech,Dubai,242766,"climate data analysis, energy modeling",Yes,Medium,2025-08-18
274,Smart Contract Engineer,Blockchain,Tokyo,165283,"rust, ethereum",No,Medium,2025-08-06
275,Quantum Researcher,Quantum Computing,Dubai,50084,"quantum algorithms, qiskit",Yes,Large,2025-10-21
276,Blockchain Developer,Blockchain,New York,209737,"ethereum, rust",No,Medium,2025-03-28
277,Ai Engineer,Ai,Tokyo,113730,"tensorflow, python",No,Medium,2025-01-19
278,Sustainability Analyst,Green Tech,Singapore,117569,"energy modeling, climate data analysis",Yes,Small,2025-09-21
